main_category,title,description
Grocery,"M&M'S Holiday Mint Chocolate Christmas Candy Assortment, 9.2 oz Bag","[""Dressed up in red, green, and white to celebrate the holiday season, M&M'S Holiday Mint Chocolate Christmas Candy is a festive treat that friends and family will love. Made with creamy peppermint-flavored milk chocolate, M&M'S Mint Chocolate Christmas Candies are coated in red, white and green shells. Whether served by themselves or baked into your favorite holiday cookies and desserts, this iconic candy adds seasonal fun to everything. Add a dash of color to candy dishes for guests to enjoy at holiday parties. You can also use M&M'S Holiday Mint Chocolate Candy in Christmas party goodie bags. If Christmas movies are part of your holiday season, why not add these bright chocolate candy bites to the experience? From candy buffets to decadent holiday desserts, make this holiday season even merrier with M&M'S Red, White and Green Christmas Mint Candy.""]"
Grocery,"La Tourangelle, Toasted Sesame Oil, Great for Cooking, Add to Noodles, Stir-Fry, Vegetables, Vinaigrettes, and Marinades for Authentic Asian Cuisine, 16.9 fl oz","[""La Tourangelle Toasted Sesame oil is pure, all-natural and handcrafted from high-quality sesame seeds harvested from South America or Africa. The seeds are toasted and then expeller (machine) pressed to extract the oil. This oil is filtered several times and then bottled. Our mill slowly roasts the sesame seeds using lower temperatures. The result is a deep amber, richly flavored oil with a subtle toasted taste. Sesame Oil has long been the universal cooking medium in Asia, imparting the characteristic flavor to the foods of its regions. In Chinese and Korean cuisine, it is added as a flavor highlight to cooked dishes. The Japanese often add about 10% toasted Sesame Oil to the oil used for tempura or deep-frying, creating a rich, background flavor. American cooks may want to use Sesame Oil to flavor an Asian stir-fry or noodle dish or as a marinade for meat or fish. Sesame Oil, rice vinegar, fresh grated ginger, and mustard is a delicious dressing for any combination of salad greens. Sesame Oil, is an ancient ingredient. The Assyrians used it as a cooking oil more than 600 years before Christ. It was expensive, however, and a hundred years later in Persia only the rich could afford it. It is still used as a medicine in India , and oil pressed from the raw seed is a massage oil in Ayurvedic medicine. Its low saturated fatty acid content and high unsaturated fatty acid content makes it a very healthy oil. La Tourangelle is one of few remaining oil mills keeping a time-honored French heritage of roasting and pressing nut kernels into delicious oils. We are a family-owned company whose mastery of oil production is the fruit of passion, integrity, and pride. We strive to be the best artisan oil producer, dedicated to making carefully crafted, sustainable, natural products. With artisan care, we extract the seeds' essence and hidden natural treasures to create amazing products that bring delight in the kitchen and well being for the body.""]"
Grocery,"FIESTA Drink Concentrate 16oz Bottle (Tamarindo, 2 Pack)","['For every part of concentrate add 7 parts of water, add ice and enjoy this natural delicious tropical drink!']"
Grocery,"Diet Sierra Mist Lemon-Lime Soda Can, 12 Fl Oz (Pack of 18, Total of 216 Oz)","[""Diet Sierra Mist Natural Lemon-Lime Soda Is Made With Real Sugar And Nothing Artificial--Just Natural Ingredients--So The Crisp, Clean Lemon-Lime Flavor Shines Through. It'S Simple, Delicious, And Refreshing--Naturally.""]"
Grocery,"Cha Wu-[A] Chrysanthemum Tea,3.5oz/100g,HangZhou Tai Ju,White Chrysanthemum Bud,Chinese Herbel Tea,Flower Tea",[]
Grocery,"Mavuno Harvest Organic Roasted Cashews with Sea Salt | Dry Roasted Whole Cashew Nuts | Vegan, Non GMO Healthy Snacks for Kids and Adults | Office Friendly Work Snack | 4 Ounce, Pack of 3","[""Mavuno Harvest Organics was started by a Peace Corps volunteer who wanted to share delicious African dried fruit and nuts with global markets, help provide jobs and give economic opportunity to struggling farmers. His fair trade practices help African farmers build sustainable businesses that positively impact their communities. All of the fruit and nuts sourced by Mavuno Harvest are grown without the use of GMO's, synthetic substances, chemical fertilizers or pesticides. Now you have the opportunity to directly impact struggling communities and economies in Africa while enjoying delicious, healthy and organic snacks. Ethically sourced, naturally delicious and making a difference with every bite!""]"
Grocery,Beer Tenderloin Steak Grass Fed Organic Step 4,"['Beef Tenderloin Roast, 2-5lb']"
Grocery,Claeys Sassafras Sanded Candy Drops ~ 2 Lbs ~ Old Fashioned Flavor,['2 lbs. of nostalgic old fashioned sassafras sanded candy drops! Great traditional rootbeer like flavor. Enjoy these candies of yester-year shipped direct from YANKEETRADERS warehouse!']
Grocery,"Altoids Spearmint Mints, 1.76 ounce (2 Packs)","['Altoids Spearmint Mints, -1.76 oz (2 Packs) Package includes 2 individual packs, 1.76 ounces each. Altoids come in the ever-versatile, pocket-size tin. Freshen up with a curiously strong spearmint flavor. Get a boost of good-breath confidence with Altoids breath mints. The original, celebrated mint always has your back.']"
Grocery,Naturevibe Botanicals Organic Guar Gum Powder (13oz),[]
Grocery,Heartbreaking Dawns Cauterizer Hot Sauce,[]
Grocery,"Border Grill, Mashed Honey Lime Yams and Brussels Sprouts, 4 servings","['16 ounces of our slow baked yams with a sweet and tangy flavor and 16 ounces of our deliciously, charred brussels sprouts sauteed with butter.']"
Grocery,"Salveo Hot & Spicy Fries, 1 Ounce, (Pack of 90)","['Salveo Hot & Spicy Fries are part of the KLN Family Brands. Hot & Spicy Fries are Gluten Free, Cholesterol Free and 0g trans Fat. This is an excellent source of whole grains.']"
Grocery,"Brazi Bites Ranch Brazilian Cheese Bread, 11.5 OZ",['Grocery Frozen']
Grocery,"Organic Lemon Balm Herb 4 oz. (113g), USDA Certified Organic Lemon Balm Tea, Organic Lemon Balm Loose Leaf, Dried Lemon Balm Leaf Tea, Melissa Officinalis, Melisa Tea, Te De Toronjil, Cut & Sifted",[]
Grocery,Farmer Brothers 100% Arabica Medium Roast Ground Coffee - Rainforest Alliance Certified,"['Farmer Brothers original blend, made from the smoothest coffees on earth - nutty, chocolaty and medium bodied']"
Grocery,"Certified Keto & Gluten Free All Purpose Bread Mix by Fox Hill Kitchens | Low Carb, Grain Free, Dairy Free, GMO Free, Paleo Friendly | Zero Sugars at Any Serving Size",[]
Grocery,"Kraft Real Mayo Creamy & Smooth Mayonnaise, 15 fl oz Jar","[""Kraft Real Mayo adds light flavor and creamy texture to all types of dishes. Made with cage free eggs, vinegar, lemon juice and the perfect blend of seasonings, our family favorite mayonnaise delivers delicious flavor in every bite. This mayo is perfect for adding savory flavor to sandwiches, salads and more. You'll feel good about adding our real mayonnaise to all your favorite appetizers and entrees. You can also try adding this creamy Kraft mayo on sandwiches and hamburgers. Our real mayonnaise is packaged in a resealable 15 fluid ounce jar to help lock in flavor. Refrigerate after opening.""]"
Grocery,"Reese's Easter Peanut Butter Eggs,1.2 oz 6-Count Packages (Pack of 4)","[""Delight in the classic combination of milk chocolate and Reese's signature peanut butter in a fun Easter egg shape. They're a perfect prize for the winner of your annual Easter egg hunt or as a festive gift for friends and family.""]"
Grocery,"Badia Sazon Meat Poultry and Fish, 6.75 oz",['Spices And Seasonings.']
Grocery,"Kerbey Lane Pancake Mix, Gingerbread, 16-Ounce (Pack of 3)","[""Kerbey Lane Cafe serves great food prepared with natural ingredients and a healthy dose of imagination. Because so many of our customers have requested them, we've packaged some of our most popular pancake recipes for you to enjoy at home.""]"
Grocery,"Popcorners Popped Corn Chips 2 Flavor 10 Individual Bag Variety Bundle - 5 Each: White Cheddar and Salt of the Earth, 1 Ounce ea",[]
Grocery,"Woodstock Farms Sesame Sticks, Salted, 12-Ounce Bags (Pack of 4)","['Woodstock Farms salted sesame sticks comes in 12 ounce bag. Cracker sticks cooked in sesame oil for a savory treat on the trail. It contains unbleached wheat flour, non-hydrogenated soybean oil, sesame seeds, bulgur wheat, salt, beet powder, and turmeric contains, wheat, soy, natural or organic ingredients. It is a kosher certified product. Woodstock Farms was created to honor the inseparable relationship between the vitality of the soil, the energy of plants, the taste of ripeness and the viability of farming. It has grown to an extensive line of organic and natural grocery, dairy and frounceen food products that includes bulk items, food service items as well as consumer-packaged products. Woodstock Farms products combine excellent quality and affordable prices. As one of the original national organic and natural brands, it enjoys broad distribution in the natural food market place.']"
,"ROCO Pinot Noir Willamette, 750 ML",[]
Grocery,"Talking Rain AQA Alkaline Ionized Bottled Water, 9.5 pH, with Electrolytes and Minerals Added for Taste, 20 fl oz Bottle (Pack of 12)","['When balance is bliss and pure is preference, drink Talking Rain AQA, formulated with a pH of 9.5 to deliver balanced refreshment and functional hydration. We added electrolytes and minerals to make sure it tastes amazing, too. This 9.5pH water offers essential hydration, and the refreshing, clean taste is everything. The product ships in a pack of 12 bottles. Each bottle contains 20 fl oz.']"
Grocery,Cracker Barrel Extra Sharp White Cheddar Cheese Chunk (8 oz Block),"['Cracker Barrel Extra Sharp White Cheddar cheese is creamy and smooth with a bold, rich flavor. Our high standards come from a belief that cheese making is an art perfected by experts with decades of experience. The deliciously different taste of Cracker Barrel cheese will keep you coming back for more.']"
Grocery,"365 by Whole Foods Market, Sauce Steak Organic, 10 Ounce","['Our standards are what set us apart, and our quality is what keeps us stocking pantries, fridges and freezers with the best natural and organic 365 Everyday Value products every day. We get excited about things like whole grain flours, shade-grown coffee, organic milk and frozen veggies because we know that you care about cooking with the very best ingredients — without compromising on the ingredients you don’t want. (All 365 Everyday Value products meet Whole Foods Market quality standards.)']"
Grocery,OA QUINOA Now Greenfit | Royal Organic White Quinoa (10 Lb),"['Organic Royal White Quinoa. Up to 33% larger than regular quinoa. Our product is thoroughly washed so there is no need to re wash. Organic Royal Mixed (White and Red) Quinoa. 33% larger than regular quinoa. Complete Protein: Quinoa is one of the only cereals that is considered a “complete source of protein” because it includes all nine essential amino acids. Eat Healthy, Stay Fit! Quinoa is not only high in protein, but it is also low on calories and carbs! Quinoa also contains vital minerals, such as magnesium, iron, tryptophan, copper and phosphorous! How About Digestion? Quinoa is gluten free and rich in fiber and starch, which are ideal for digestion. In fact, quinoa has twice as much fiber as oatmeal! Your Heart Will Thank You Quinoa’s high magnesium content makes it the perfect food for good cardiovascular health, as magnesium is the mineral most responsible for relaxing blood vessels. * Weight of Bag is included in the 10 Lb']"
Grocery,"2017 Harvest, Margaret’s Hope Moonlight First Flush White Tea, 100% Pure Unblended White Tea Loose Leaf Sourced Direct from the Margaret’s Hope Tea Estate, (25 Cups), 1.76oz","['Margaret’s Hope Moonlight First Flush White Tea', ""An estate of Darjeeling that requires little introduction. We have been in love with this white tea for its velvety texture and a bouquet of sweet flavours like lavender. A clean and sweet cup right from the start, the light golden liquor bursts into floral notes at its heart and ends on a fruity note of tree fruits, like pear. As you relish your cup, you can smell the likeness of stone fruits, apricot jam and some vanilla sugar. This is a true connoisseur's cup with its intricate floral details and a smooth start to finish, while being crisp at the edges. An extraordinary cup from this year's harvest, the fragrant picks of AV2 clone is floral and fruity with the right measure of green that makes it truly memorable. Set this cup aside to mark a special occasion and we suggest to you take it by itself."", 'A BRAND FROM WITH A DIFFERENCE', 'Based in India, VAHDAM is disrupting the traditional supply chain of tea. We procure garden fresh Darjeeling Teas direct from plantations within 24-48 Hours of harvest which are then immediately packaged to preserve freshness & flavor. All teas are shipped to consumers worldwide direct from our packaging factory at source in India. By cutting out all middlemen, we are able to make available the freshest quality tea at the best price, fastest. Plus, all our teas are certified to be 100% Pure by the Tea Board of India, Ministry of Commerce, Government of India. Taste the Vahdam Difference & decide for yourself.', '30 DAY - 100% MONEY BACK GUARANTEE', 'If you dont like the tea, we will issue a 100% MONEY-BACK REFUND IMMEDIATELY, no questions asked. So go ahead, SHOP TODAY without hesitation.']"
Grocery,"5lb Sumatra Mandheling Grade 1 Whole Bean Fresh Roasted Coffee, Dark Roast, 100% Arabica Specialty Coffee, 80 ounces, 5 pounds, Bulk Coffee",[]
Health & Personal Care,OOOFlavors Sugar Butter Cookie Flavored Liquid Concentrate Unsweetened (30 ml),['Description: A yummy and sweet sugar cookie with notes of sweet butter flavor.']
Grocery,"Anna and Sarah Turkish Antep Pistachios, Premium Quality Roasted Pistachios, Healthy Snack, Rich Flavor in Resealable Bag (5 Lbs)",[]
Grocery,Café Escapes Café Caramel K-Cup Pack,"['Make those special ""me"" moments even more delectable with an enticingly light cup of Café Caramel. Each blissfully buttery sip is a reminder-life really does taste better with caramel on top.', 'INGREDIENTS: Sugar, Creamer (hydrogenated coconut oil, glucose syrup, sodium caseinate (from milk), sodium polyphosphate, dipotassium phosphate, sodium stearoyl-2-lactylate, silicon dioxide), Nonfat milk, Caramel Color, Instant Coffee, Modified Food Starch, Salt, Natural and Artifical Flavor, Sucralose.', 'Contains: Milk']"
Grocery,Harney & Sons CRANBERRY Naturally Caffeine-Free Herbal Tea,[]
Grocery,100 Shots of SToK Espresso Coffee Shots Caffeinated Cold Brew in Dispenser Box,[]
Grocery,"Celestial Seasonings Wellness Tea, Sleepytime Sinus Soother, Caffeine Free Sleep Tea, 20 Tea Bags (Pack of 6)","['Celestial Seasonings Sleepytime Sinus Soother Tea is designed to promote respiratory comfort* with a blend of tulsi and stinging nettle. Our caffeine and gluten-free tea is also infused with chamomile and mint for a cool, herbal taste. We achieve this flavor profile without the use of any artificial flavors, colors or artificial preservatives. Simply steep an herbal tea bag in hot water for 4-6 minutes for the perfect cup. Includes one 20-count box of Celestial Seasonings Sleepytime Sinus Soother Tea. Celestial Seasonings teas are an invitation to bring the perfect balance to your day. From herbal teas to chai and matcha lattes and everything in between, there’s a Celestial blend that’s just right for any occasion. We blend our teas using the finest herbs, teas, spices and botanicals available, and we lovingly package them in engaging, thoughtful boxes that truly represent the goodness found inside. *These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.']"
Grocery,"Classic Date Nut Bread, Full Flavor of Dates & Nuts, Crunchy Walnuts, Moist, Dense, Traditional Recipe in a 16 oz Loaf, Serves 8-10 - Certified Kosher",[]
Grocery,"Mama Kim's Kimchi Products (Spicy Radish Kimchi, 3 x 16oz Jar)","['Radish Kimchi, 깍두기 (Kkak Doo Gi) Only made with high quality ingredients and hand-picked fresh fruits and vegetables, our kimchi is always made in a small batch by hand in a commercial kitchen following health regulations to help you get the best quality and taste of kimchi. Our main goal is to spread this nutritious Korean food packed with prebiotics and probiotics to help people live their healthy lives.']"
Amazon Home,"Jmbamboo - 5-stem of 16"" Hydra Lotus Lucky Bamboo - Design Jmbamboo","['The Chinese have regarded Lucky Bamboo as a way to wish good fortune on others as a gift or to bring good luck to your own home as part of ""Fung Shui"" - The Chinese art or practice of creating harmonious surroundings that enhance the balance of Yin and Yang Lotus bamboo is known as rose bamboo or flower bamboo because the leaves resemble lotus flower These bamboos are 20 inches tall and are very easy to take care of, they just need water and indirect sunlight. We have over 10 years experience in shipping Lucky Bamboo all over the country safely. The Lucky Bamboo will be shipped with enough water to drink for at least a week and care instructions.']"
Grocery,"Mississippi Cheese Straw Factory Sriracha Spicy Hot Cheddar Cheese Straws in Plain Box, 32oz (908g)",[]
Grocery,"Land O'Frost Premium Breakfast Cuts, Natural Hickory Smoked Canadian Bacon, 7 Oz","['Land O’Frost Canadian Bacon Breakfast Cuts is a wholesome and healthy alternative to traditional breakfast meats or sliced lunch meats. Our delicious product will satisfy every member of your family with high protein and lower fat ingredients. Land O’Frost makes this tasty naturally smoked Canadian bacon so you can count on high-quality standards with no artificial flavors, no by-products, and no added hormones.']"
,"Rachel Cho Floral Design - Orange You Nice - Fresh Cut Flower Bouquet - Fast Delivery - Fresh Flowers - Floral Arrangement - Flower Bouquet - Approx. 4 lbs. 15"" x 9"" - Without Vase",[]
Grocery,"Frannie’s Sparkling Very Vanilla Creme, Protected With High-Density Foam, With Vitamins, Antioxidants, Energy, Zero Aspartame & No Sugar, 12 Oz. Cans (Pack of 8 Cans)","['Brought to you by AmishTastes and carefully packed with high-density foam to ensure safe shipping to your door. A refreshing, sparkling beverage with vanilla and other natural flavors, with vitamins, antioxidants, energy and zero sugar per serving. Aspartame-free. Contains no juice. Caffeinated.']"
Grocery,"Now Foods Organic Pumpkin Seeds, 12 Ounce","['Product Description', ""NOW Foods\xa0Pumpkin Seeds Unsalted are a tasty and crunchy treat, whether they're eaten raw or roasted and salted."", 'Brand Story', 'By Now Foods']"
Grocery,Price's Fine Chocolates Annaclairs - 9 Ounce Box (Dark Chocolate),[]
Toys & Games,"Little Miss Firecracker Cake Topper, 4th of July Cake Decorations, Patriotic 1st Birthday, Little Firecracker Birthday Party Decorations, Red and Blue Glitter","['[\xa0Package Include ]', '1\xa0PCS Little Miss Firecracker Cake\xa0Topper', '[ Notes\xa0]', ""1, The\xa0cake\xa0topper\xa0is\xa0not\xa0edible!\xa0Don't\xa0put\xa0this\xa0product\xa0in\xa0your\xa0mouth! 2, The toothpick is sharp, please don't let children use it alone! 3, The\xa0cake\xa0topper\xa0is\xa0made\xa0of\xa0cardboard,\xa0so\xa0it\xa0is\xa0not\xa0washable. 4, Picture may appear larger on your screen, color may vary slightly due to the color setting of each individual monitor.""]"
Amazon Home,"Mud Pie Talk Turkey to Me Serving Fork, Silver",['Antique style stamped message forks from Mud Pie feature holiday sentiments. Forks come packaged on corrugate cards.']
Grocery,"Fusion Select Jelly Fruit Snack Tik Tok Challenge Hit or Miss - Fruit-Shaped Jelly- Assorted Flavors, Strawberry, Orange, Apple, Pineapple, Grape, Mango (3 Bags)",[]
Grocery,"Fraser Tea Organic Green Tea - Minty Green, Full Leaf, 12 (Corn Base) Pyramidal Sachets","['Minty Green Organic Green Tea is one of our most distinctive and best-selling varieties of tea. Masterfully blended, vibrant green Sencha fuses with Michigan-grown blueberries, frosty spearmint, and invigorating peppermint. The result is a healthy and delicious minty organic green tea\xa0that not only tastes refreshing, but is packed with antioxidants and helps support good digestion. Try this tea iced or warm for a refreshing take on a healthy beverage.']"
Toys & Games,JANOU Basketball Sports Cupcake Toppers Cake Picks Decoration Birthday Baby Shower Wedding Party Suppliers Pack 20pcs,"['Do you find a lovely and amazing cake decoration insert card for your party?', 'The Basketball set cake topper will give your cake a beautiful appearance.  They can be used in birthday, romantic wedding, bridal shower, anniversary, engagement, Christmas party decoration.', 'Lovely cake toppers make your party unforgettable.', 'Package Including', '10 x Basketball Stands Cake Topper + 10 x Basketball Cake toppers']"
Grocery,"Samai, Plantain Chips Naturally Sweet , Count 15 (2.65 oz) - Snacks / Grab Varieties & Flavors",[]
Grocery,Fairytale Brownies Mother's Day Sprite 16 Individually Wrapped Gourmet Chocolate Food Gift Basket - 3 Inch x 1.5 Inch Snack-Size Brownies - 16 Pieces - Item SM216,[]
Grocery,Asturi Rosemary & Olive Oil Bruschettini (2 x 4.23oz),"['A little bite of Italy! These Bruschettini are snack size Italian bruschetta baked with unbleached flour, the highest quality extra virgin olive oil and fresh rosemary. They make a delicious snack all by themselves, or topped with almost anything. A great appetizer for any occasion or use with soups or salads. Kosher. All Natural. Baked In Italy.']"
Grocery,OneCoffee Organic Breakfast Blend 72 Count Single Serve Coffee 100% Compostable Pods Made for K-Cup Keurig Brewers,[]
Grocery,ORIHIRO Chameleon plant Tea for Economy 3g-60packs,[]
Grocery,"Brioche Pasquier - Authentic French Chocolate Croissants, 9.5oz (270g)",[]
Grocery,"Chocolove Cherries & Almonds in Dark Chocolate Bar, 3.2 Ounce (Pack of 3)",[]
Grocery,"Halibut Fillet, Fresh, Wild Caught 4 lbs | 8 pcs",[]
Grocery,Pukka Revitalise Herbal Tea Cinnamon Cardamom & Ginger -- 20 Tea Bag,['Pukka Revitalise Herbal Tea Cinnamon Cardamom & Ginger -- 20 Tea Bag']
Grocery,Team Fortress 2 Edible Image Cake Topper Party Personalized 1/4 Sheet,"['Cake sheets are sized about 8""x10"" and will fit a 1/4 or can be centered on a 1/2 sheet cake.', 'Instructions are included with your order. Simply peel the back off your image and lay the sheet on top of your cake. Keep the sheet stored in a sealed plastic bag when not in use, otherwise the sheet will dry out and crack. Cake sheets do not need to be refrigerated, however keep them away from humidity and light by storing them in a cool, dark space, sealed in a plastic bag. Sheets can last up to 6 months when properly stored.']"
Grocery,Goya Sazon Con Culantro y Achiote 6.33oz Jumbo Pack-( 2 PACK SUPER SAVER ) Low Sodium Seasoning,[]
All Beauty,Ilanka Sri Lanka Organic Extra Virgin King Coconut Oil - Vegan,"['For its rare nature and nativitity to the island of Sri Lanka, the silk like texture of this miracle coconut oil does wonders for thicker longer hair and also can be used as a skin moisturizer for the face and body. King Coconut Oil is made from the pulp of the fruit and the product is also used widely in preparation of Ayurvedic Medications. For thousands of years, Ayurveda has utilized the King Coconut Oil as the base, for medicine preparations. Virgin King Coconut Oil contains no preservatives or additives, no added sugar, is low in cholesterol and is gluten free, lactose free and vegan. King Coconut (Cocos nucifera) is a variety of \xa0Coconut, \xa0Golden Orange in Colour and only found in Sri Lanka. It is sweeter and of higher nutritional value than regular green coconut.The king coconut plantations are rare, uncommon and only grown in Sri Lanka. It is a KIN, as the name implies. Research has also discovered that coconut water contains cytokinins that are having anti-ageing properties. It also contains naturally occurring bioactive enzymes, such as catalyse, dehydrogenase and diastase, which help digestion and metabolism. It is also a good source of \xa0B-complex vitamins, essential to the human body.']"
Grocery,"AL DENTE Carba-Nada Egg Pappardelle, 10 Ounce (Pack of 6)","[""Foodies, Weight Watchers and Diabetics love the taste, texture and 3 minute cooking time of Carba-Nada Pasta. Diabetics appreciate that it doesn't cause a spike in their sugar. Weight Watchers love the 15g of protein and the lower carbs and calories--18g net carbs and 170 calories per serving.""]"
Grocery,Orrington Farms Southwest Style Chicken Seasoning for Slow Cookers-6 (SIX) 2.5oz Packets by Orrington Farms,[]
Grocery,Dill & Tarragon Seasoned Sea Salt SP9070,"['HOW BEST TO USE For a rub simply drizzle fish, poultry or seafood with oil and sprinkle generously with Seasoned Salt. MARINADE: Use Seasoned Salt in place of table salt to any marinade.']"
Grocery,Global Choice - Mandarin Orange Whole Segments - 6 LBS - JUMBO Size,[]
Grocery,"Jamaican Choice MSG Flavor Enhancer, Super Sazon. 9 oz","['Jamaican choice MSG Flavor enhancer is the classic monosodium glutamate in the convenience of a 9 Oz container, use to enhance your sauces, marinades, salads and meat tenderizer, from asian dishes, to jamaican to the rest of the world, MSG is used everywhere.']"
Grocery,"Back to Nature Crackers, Non-GMO Sun-Dried Tomato & Basil Crispy Wheat, 8 Ounce","['One bite of this crispy crackers and you’ll be transported to the Italian countryside. Top with fresh mozzarella for a light and tasty snack, sprinkle over tomato soup for an extra burst of texture and flavor, or simply eat straight out of the box for a hearty but never heavy snack that you can feel great about. Whether you’re getting together with friends or family, good moments and light entertaining call for good food. With Back to Nature products, you can enjoy the good, mouthwatering taste of crackers as you please. Whether you’re pairing Stoneground Wheat Crackers with savory cheese, displaying Pink Himalayan Salt Multigrain Flatbreads on a charcuterie board, spreading guacamole on Sesame Seed Rice Thin Crackers, or pairing Saltines with your favorite warm soups, you can always discover new ways to entertain, share, and enjoy. Whether it’s the flavors of a sweet cookie or a savory, salty cracker, our simple ingredients are deliciously inspired by nature. What’s more, you’ll find select foods to enjoy that are Non-GMO Project Verified, USDA Organic, Kosher, whole grain as well as gluten-free or made from ancient grains. Smile knowing you’re giving you and your family great tasting food that has goodness in mind. Back to Nature has been a proud partner of The Nature Conservancy supporting initiatives focused on conservation for more than a decade. In honor of going plant based in 2020, Back to Nature is working with The Nature Conservancy to plant more than 130,000 trees throughout the United States as a supporter of the Plant A Billion Trees Program. We believe a healthier planet leads to healthier and happier people.']"
Grocery,Great Value Single Serve Cups for Keurig Compatible Coffee Machines (Chai Latte),[]
Grocery,"Ocean Spray, CranEnergy, Cranberry Pomegranate Energy Juice Drink, 10 Ounce (Pack of 6)","['Enjoy the crisp, clean taste of real cranberries and the sweet taste of pomegranates, enhanced with natural caffeine from green tea extract and five B vitamins, with 50% less calories than other energy drinks and no added sugar.']"
Grocery,Sincerely Nuts Dried Cantaloupe Chunks - Three Lb. Bag - Remarkably Delicious - Outstanding Freshness- Loaded with Nutrients - Kosher Certified!,"['YOUR TASTE BUDS ARE ABOUT TO BE DELICIOUSLY THRILLED… Dive into Deliciousness! Oh, think you know what scrumptiousness tastes like? Just wait until you sample our dried cantaloupe chunks! These little guys epitomize total deliciousness with their unique musky flavor, and a texture that will make your tongue go bonkers. If you’re looking for a snack that will blow you away, this is it! All those Vitamins! Cantaloupe must be Mother Nature’s favorite, because she went all out on it! In just a single serving, your body will enjoy a staggering serving of vitamin A, immunity-boosting vitamin C, digestion-friendly fiber, and an army of minerals determined to take over your body with total wholesomeness. Sincerely Nuts Dried Cantaloupe Chunks’ benefits include: - Rich flavor and mouthwatering texture. - Wholesome assortment of minerals, vitamins and fiber. - Irresistible freshness courtesy of the perfect packaging. - Kosher certified and made using the finest ingredients. - Generously-filled bags to leave you dancing in joy. If you’re craving for a snack bursting with nutrients, if you’re all about scrumptiousness so supreme it deserves a spin-off series, then click ‘Add to Cart’ now!']"
Grocery,Old Bay Seasoning Hot,"['Ingredients: Celery Salt (Salt, Celery Seed), Spices (Including Paprika, Black Pepper), and Red Pepper']"
Grocery,"Hawaiian Island Salt Company Sea Salt Seasoning (Balsamic o Kekai, 8 Ounce Pouch)",['Flavor:Balsamic. Size:8 Ounce Pouch. Comes in a resealable pouch. Product of Hawaii.']
Grocery,"Jell-O Instant Pistachio Sugar-Free Fat Free Pudding & Pie Filling (1 oz Boxes, Pack of 6)",['This delicious pudding sets in just five minutes; just add milk and mix.']
Grocery,"Dr. McDougall's Right Foods Non-Dairy Hot Cereal, Cranberry Muesli, 3.1-Ounce Cups (Pack of 12)","['About the Brand', 'John A. McDougall, M.D.--physician, nutrition expert, and founder of Dr. McDougall\'s Right Foods--has been studying, writing, and ""speaking out"" about the effects of nutrition on health for more than 20 years and is one of the ""founding fathers"" of modern wellness. Dr. McDougall believes that people should look and feel great, and should enjoy optimal health for a lifetime.', 'Unfortunately, many people compromise their health unknowingly through poor dietary habits. Dr. McDougall should know. He suffered a stroke at the age of 18 then developed an interest in medicine. He went on not only to reverse his own health and enjoy life, but to teach thousands how to enjoy good health themselves.', 'Dr. McDougall is founder and medical director of the nationally renowned McDougall Program in Santa Rosa, California. Based on several years of private practice with thousands of patients and extensive medical research, Dr. McDougall has developed a nourishing, low-fat diet that not only promotes a broad range of health benefits such as weight loss, but more importantly can reverse serious illness, such as heart disease, without drugs.', ""A graduate of Michigan State University's College of Human Medicine, Dr. McDougall performed his internship at Queen's Medical Center in Honolulu, Hawaii, and his medical residency at the University of Hawaii. He is certified as an internist by the Board of Internal Medicine and the National Board of Medical Examiners. He has authored (or co-authored with his wife, Mary) ten best-selling books about the connection between nutrition and health, and is a frequent lecturer and talk show guest. He enjoys travel, wind surfing, and hiking. A few times a year, Dr. McDougall leads adventure and wellness trips to exotic locations serving McDougall style foods. Guests return feeling fit and healthy."", ""All of Dr. McDougall's instant meal cups are all-natural, absolutely delicious, very low in fat, satisfying, nutritious, quick and easy to prepare, developed by a medical doctor, free of cholesteral, vegetarian, and non-dairy.""]"
Grocery,"Gourmet Dark Chocolate Covered Almond Clusters by It's Delish, 2 lbs","[""Gourmet Dark Chocolate Covered Almond Clusters by It's Delish, 2 lbs"", 'Scrumptious chocolate nut clusters made with premium fresh ingredients to ensure rich chocolaty and crunchy treats for every occasion. ""Betcha\' you cant eat only one"" yes, they\'re that good! Yum. This dark chocolate almond cluster is made without caramel, just fresh almonds and chocolate! Get some for yourself for any event or send some as a gift, they\'ll be very thankful and appreciative! Bon Appetit!', ""About It's Delish!"", ""It's Delish was established in 1992 and is located in North Hollywood, California. It's Delish is a food manufacturer and distributor who produces over 500 gourmet food products including licorice, sour belts, taffies, caramels, Jordan almonds, chocolates, nuts, fruits, trail mixes, spices, and the spice blends. It's Delish also produces organics and all natural products. We give you the opportunity to order from the factory direct!"", 'It’s Delish! prides itself on the four pillars that are at the foundation of everything we do.', 'Innovation Quality Value Service']"
Pet Supplies,"Nissin Super Meal, Chicken Flavor (4.3 oz)",['nissin']
Grocery,"Swedish Fish, Theater Box, 3.1oz Box (Pack of 12)",['SWEDISH FISH RED THEATER BOX 3 OUNCES 12 COUNT']
